#name;CR;MR;alignment;size;type;subtypes;groups;environment;climate;plane;variant;intervals;source
##Bestiaries

#Bestiary 1 (10.2009)
aasimar;0;;2;4;9;13;;0;;0;;1-2,3-6|team;B1
aboleth;7;;7;6;0;2;;1;;0;;1-2,3-6|brood,7-19|shoal;B1
adamantine cobra;3;;5;3;2;;;0,11,13;;0;iron cobra;1-2,3-10|nest;B1
adult black dragon;11;;9;5;3;7;20;12;3;0;;1;B1
adult blue dragon;13;;7;6;3;4;20;3;3;0;;1;B1
adult brass dragon;11;;3;5;3;6;23;3;3;0;;1;B1
adult bronze dragon;13;;1;6;3;7;23;2;2;0;;1;B1
adult copper dragon;12;;3;5;3;4;23;5;3;0;;1;B1
adult gold dragon;15;;1;6;3;6;23;8;3;0;;1;B1
adult green dragon;12;;7;6;3;1;20;4;2;0;;1;B1
adult red dragon;14;;9;6;3;6;20;6;3;0;;1;B1
adult silver dragon;14;;1;6;3;3;23;6;2;0;;1;B1
adult white dragon;10;;9;5;3;3;20;6;1;0;;1;B1
ancient black dragon;16;;9;6;3;7;20;12;3;0;;1;B1
ancient blue dragon;18;;7;7;3;4;20;3;3;0;;1;B1
ancient brass dragon;16;;3;6;3;6;23;3;3;0;;1;B1
ancient bronze dragon;18;;1;7;3;7;23;2;2;0;;1;B1
ancient copper dragon;17;;3;6;3;4;23;5;3;0;;1;B1
ancient gold dragon;20;;1;7;3;6;23;8;3;0;;1;B1
ancient green dragon;17;;7;7;3;1;20;4;2;0;;1;B1
ancient red dragon;19;;9;7;3;6;20;6;3;0;;1;B1
ancient silver dragon;19;;1;7;3;3;23;6;2;0;;1;B1
ancient white dragon;15;;9;6;3;3;20;6;1;0;;1;B1
air mephit\mephit;3;;5;3;9;1,12;32,43;0,11;;7;;1-2,3-6|gang,7-12|mob;B1
anaconda;4;;5;5;1;;;4,9,12;3;0;advanced giant [constrictor snake];1-2;B1
ankheg;3;;5;5;6;;;8;2,3;0;;1-2,3-6|nest;B1
ankylosaurus;6;;5;6;1;;27,28;4,8;3;0;;1-2,3-12|herd;B1
aquatic worm;12;;5;7;6;2;;1;3;0;purple worm;1;B1
army ant swarm;5;;5;0;12;;;0;3;0;;1-2,3-6|patrol,7-16|legion;B1
assassin vine;3;;5;5;10;;;4;2;0;;1-2,3-6|patch;B1
astral deva;14;;1;4;9;10,12,16;;0,11,13;;14,15,16;;1-2,3-6|squad;B1
aurochs;2;;5;5;1;;27,39;8;2;0;;1-2,3-30|herd;B1
babau;6;;9;4;9;8,9,12,22;;0,13;;18;;1-2,3-8|gang;B1
balor;20;;9;5;9;8,9,12,22;;0,11,13;;18;;1;B1
barbed devil/hamatula;11;;7;4;9;9,11,12,23;;0,13;;20;;1-2,3-5|team,6-11|squad;B1
barghest;4;;7;4;9;9,11,12,50;;0,13;;0;;1;B1
basidirond;5;;5;4;10;;;13;;0;;1-2,3-8|grove;B1
basilisk;5;;5;4;6;;;0,13;;0;;1-2,3-6|colony;B1
bat;-4;;5;1;1;;31;3,4;2,3;0;;10-400|colony;B1
bat swarm;2;;5;1;1;52;;0;2,3;0;;1-2,3-6|flight,11-20|colony;B1
bearded devil/barbazu;5;;7;4;9;9,11,12,23;;0,13;;20;;1-2,3-10|squad,11-40|troop;B1
bebilith;10;;9;6;9;8,9,12;;0,13;;18;;1,2-6|band;B1
behir;8;;5;6;6;;;3,5;3;0;;1-2;B1
bison;4;;5;5;1;;27,39;8;1,2;0;;1-2,3-30|herd;B1
black bear;3;;5;4;1;;27;4;1;0;young [grizzly bear];1-2;B1
black pudding;7;;5;6;8;;;13;;0;;1;B1
boar;2;;5;4;1;;27;4;2,3;0;;1-2,3-8|group;B1
boggard;2;;9;4;5;;;12;2;0;;1-2,3-12|army;B1
bombardier beetle;2;;5;5;12;;;4;2;0;giant stag beetle;1-2,3-6|cluster;B1
bone devil/osyluth;9;;7;5;9;9,11,12,23;;0,11,13;;20;;1-2,3-10|inquisition;B1
brachiosaurus;10;;5;7;1;;27,28;4,8;3;0;;1-2,3-12|herd;B1
bralani;6;;3;4;9;8,10,12,19;;0,11,13;;16;;1-2,3-6|squad;B1
brute wight;5;;7;5;11;;;0,13;;0;advanced giant [wight];1-2,3-6|gang,7-12|pack;B1
bugbear;2;;9;4;5;;;6;2;0;;1-2,3-6|gang;B1
bulette;7;;5;6;6;;;5;2;0;;1-2;B1
cairn wight;4;;7;4;11;;;0,13;;0;advanced [wight];1-2,3-6|gang,7-12|pack;B1
cat;-2;;5;2;1;;31;8,14;2,3;0;;1-2,3-12|pack;B1
cauchemar;11;;8;6;9;9,12;;0;;19;;1;B1
cave fisher;2;;5;4;12;;;13;;0;;1-2,3-6|tangle;B1
centaur;3;;5;5;7;;;4,8;2;0;;1-2,3-10|band;B1
centipede swarm;4;;5;1;12;52;;4,13;2,3;0;;1-2,3-6|tangle;B1
cheetah;2;;5;4;1;;27;8;3;0;;1-2;B1
chimera;7;;9;5;6;;;5;2;0;;1-2,3-6|pride,7-12|flight;B1
chimera manticore;7;;9;5;6;;;5,12;2;0;[chimera], [manticore];1-2,3-6|pride;B1
chimpanzee;1;;5;4;1;;;4;3;0;young [gorilla];1-2,3-12|troop;B1
choker;2;;9;3;0;;;13;;0;;1-2,3-8|clutch;B1
chuul;7;;9;5;0;2;;12;2;0;;1-2,3-6|pack;B1
clay golem;10;;5;5;2;;36;0,13;;0;;1,2-4|gang;B1
clay golem shield guardian;12;;5;5;2;;36;0,13;;0;clay golem;1-2;B1
cloaker;5;;6;5;0;;;13;;0;;1-2,3-6|mob,7-12|flock;B1
cloud giant;11;;2,8;6;5;41;;6;2;0;;1,2-5|gang;B1
cockatrice;3;;5;3;6;;;8;2;0;;1-2,3-5|flight,6-12|flock;B1
coconut crab;0;;5;3;12;2;;1;;0;small [giant crab];1,2-12|cast;B1
cold iron cobra;2;;5;3;2;;;0,11,13;;0;iron cobra;1-2,3-10|nest;B1
colossal animated object;11;;5;8;2;;;0,1,11;;0;animated object;1;B1
constrictor snake;2;;5;4;1;;27;4,9,12;3;0;;1,2-6|nest;B1
couatl;10;;1;5;9;13;;4;3;0;;1-2,3-6|flight;B1
crab swarm;4;;5;1;12;2,52;;1;;0;;1-2,3-8|wave;B1
crag linnorm;14;;9;7;3;;41;5;1;0;;1;B1
crimson worm;13;;5;8;6;;;3;2,3;0;giant [purple worm];1;B1
crocodile;2;;5;5;1;;27;9,12;3;0;;1-2,3-12|colony;B1
cryohydra;6;;5;6;6;3;;6,12,16;1;0;hydra;1;B1
crystal ooze;4;;5;4;8;2;;1;1;0;gray ooze;1;B1
cyclops|cyclopes;5;;8;5;5;41;;0;2,3;0;;1,2-6|conclave,7-18|tribe;B1
dark creeper;2;;6;3;5;40;;13;;0;;1-2,3-6|gang;B1
dark naga;8;;7;5;0;;45;13;;0;;1,2-4|nest;B1
dark stalker;4;;6;4;5;40;;13;;0;;1;B1
darkmantle;1;;5;3;6;;;13;;0;;1-2,3-12|clutch;B1
darkwood cobra;2;;5;3;2;;;0,11,13;;0;iron cobra;1-2,3-10|nest;B1
